FIX-P1  STAGE 1  --  THE PROFILE SIEVE
==============================================================================

Corollary of (C2)+(C3):  d >= 3r+2, i.e. r <= (d-2)/3.

Legend: e=r-m, n=d-r (the line degree of the leading datum
        Lambda in H^0(ell_V,O(n)) (x) V_m, Lambda != 0).
        ord window = [2e, floor(n/3)] : H1-1(a) forces the
        lower end, Lambda != 0 the upper.
        EVASION = lambda_{2e} may vanish  <=>  n >= 6e+3.

  d | (m, r) |  e |  n | cell        | ord window | evasion | D_B channel
-------------------------------------------------------------------------
 20 | -- no admissible profile --
 21 | -- no admissible profile --
 22 | -- no admissible profile --
 23 | -- no admissible profile --
 49 | (1, 6) |  5 | 43 | OPEN        | [10, 14]   | YES     | n/a (no classified positive-line-degree family)
 49 | (3, 6) |  3 | 43 | POPULATED   | [ 6, 14]   | YES     | NO MEMBER (n not divisible by 3)
 49 | (1, 7) |  6 | 42 | OPEN        | [12, 14]   | YES     | n/a (no classified positive-line-degree family)
 49 | (3, 7) |  4 | 42 | OPEN        | [ 8, 14]   | YES     | n/a (no classified positive-line-degree family)
 49 | (3, 8) |  5 | 41 | POPULATED   | [10, 13]   | YES     | n/a (no classified positive-line-degree family)
 49 | (3, 9) |  6 | 40 | POPULATED   | [12, 13]   | YES     | n/a (no classified positive-line-degree family)
 49 | (5, 9) |  4 | 40 | POPULATED   | [ 8, 13]   | YES     | n/a (no classified positive-line-degree family)
 49 | (5, 10) |  5 | 39 | OPEN        | [10, 13]   | YES     | n/a (no classified positive-line-degree family)
 49 | (5, 11) |  6 | 38 | OPEN        | [12, 12]   | no      | n/a (no classified positive-line-degree family)
 49 | (7, 12) |  5 | 37 | POPULATED   | [10, 12]   | YES     | n/a (no classified positive-line-degree family)
 49 | (7, 13) |  6 | 36 | OPEN        | [12, 12]   | no      | n/a (no classified positive-line-degree family)
 50 | (1, 6) |  5 | 44 | OPEN        | [10, 14]   | YES     | n/a (no classified positive-line-degree family)
 50 | (3, 6) |  3 | 44 | POPULATED   | [ 6, 14]   | YES     | NO MEMBER (n not divisible by 3)
 50 | (1, 7) |  6 | 43 | OPEN        | [12, 14]   | YES     | n/a (no classified positive-line-degree family)
 50 | (3, 7) |  4 | 43 | OPEN        | [ 8, 14]   | YES     | n/a (no classified positive-line-degree family)
 50 | (1, 8) |  7 | 42 | OPEN        | [14, 14]   | no      | n/a (no classified positive-line-degree family)
 50 | (3, 8) |  5 | 42 | POPULATED   | [10, 14]   | YES     | n/a (no classified positive-line-degree family)
 50 | (3, 9) |  6 | 41 | POPULATED   | [12, 13]   | YES     | n/a (no classified positive-line-degree family)
 50 | (5, 9) |  4 | 41 | POPULATED   | [ 8, 13]   | YES     | n/a (no classified positive-line-degree family)
 50 | (5, 10) |  5 | 40 | OPEN        | [10, 13]   | YES     | n/a (no classified positive-line-degree family)
 50 | (5, 11) |  6 | 39 | OPEN        | [12, 13]   | YES     | n/a (no classified positive-line-degree family)
 50 | (7, 12) |  5 | 38 | POPULATED   | [10, 12]   | YES     | n/a (no classified positive-line-degree family)
 50 | (7, 13) |  6 | 37 | OPEN        | [12, 12]   | no      | n/a (no classified positive-line-degree family)

SUMMARY
------------------------------------------------------------------------------
  corollary_r_bound                              d >= 3r+2, i.e. r <= (d-2)/3 (from 7r-6m with m <= (2r-1)/3)
  first_d_with_any_admissible_profile            24
  first_d_with_evasion_arithmetically_available  27
  first_d_with_a_LIVE_CLASSIFIED_shape           33
  first_d_admitting_a_profile_other_than_(3,6)   31
  d25                                            {'surviving_profiles': [[3, 6, 19]], 'evasion_available': False, 'classified_alive': False}

Excluded-cell audit at small d (why nothing below (3,6)):
  (1,2)  min d = 7r-6m =   8   EMPTY=True  [FIX-N2 / V4 Thm 2.12 (explicit)]
  (1,3)  min d = 7r-6m =  15   EMPTY=True  [FIX-N2 / V4 Thm 2.12 (explicit)]
  (1,4)  min d = 7r-6m =  22   EMPTY=True  [FIX-N2 / V4 Thm 2.12 (explicit)]
  (1,5)  min d = 7r-6m =  29   EMPTY=True  [FIX-N2 / V4 Thm 2.12 (explicit)]
  (3,5)  min d = 7r-6m =  17   EMPTY=True  [FIX-N2 / V4 Thm 2.12 (explicit)]
  (5,8)  min d = 7r-6m =  26   EMPTY=True  [Note II Lemma 2.4 chain from (1,2)]
  (7,11)  min d = 7r-6m =  35   EMPTY=True  [Note II Lemma 2.4 chain from (1,2)]
  (9,14)  min d = 7r-6m =  44   EMPTY=True  [Note II Lemma 2.4 chain from (1,2)]
